Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,month_no,Month,year
OD1,Customer_1,Snacks,Chips,Tirunelveli,2017-01-19 01:35:32.332632,East,2290,0.13,367.74,Tamil Nadu,1,January,2017
OD2,Customer_2,Food Grains,Organic Staples,Perambalur,2018-05-09 08:05:19.903932,West,1102,0.27,133.95,Tamil Nadu,5,May,2018
OD3,Customer_3,Fruits & Veggies,Fresh Vegetables,Tiruppur,2017-06-17 19:42:29.504653,East,2022,0.18,598.63,Tamil Nadu,6,June,2017
OD4,Customer_4,Snacks,Namkeen,Erode,2016-03-24 09:18:32.098468,East,2658,0.26,847.48,Tamil Nadu,3,March,2016
OD5,Customer_5,"Eggs, Meat & Fish",Mutton,Coimbatore,2018-09-11 23:38:23.092164,South,2071,0.21,871.15,Tamil Nadu,9,September,2018
OD6,Customer_6,Fruits & Veggies,Fresh Fruits,Kanyakumari,2015-02-09 07:14:10.555388,East,2204,0.2,638.64,Tamil Nadu,2,February,2015
OD7,Customer_7,Fruits & Veggies,Fresh Fruits,Bodi,2018-05-29 08:28:23.272290,East,141,0.26,26.96,Tamil Nadu,5,May,2018
OD8,Customer_8,Snacks,Biscuits,Chennai,2017-11-07 13:30:51.335935,South,2968,0.18,358.58,Tamil Nadu,11,November,2017
OD9,Customer_9,Beverages,Health Drinks,Coimbatore,2015-04-10 04:52:57.424196,West,1947,0.26,797.75,Tamil Nadu,4,April,2015
OD10,Customer_10,"Eggs, Meat & Fish",Fish,Coimbatore,2017-05-30 02:52:55.262683,West,442,0.12,118.28,Tamil Nadu,5,May,2017
OD11,Customer_11,Snacks,Namkeen,Erode,2018-11-20 02:11:33.845691,South,431,0.23,154.33,Tamil Nadu,11,November,2018
OD12,Customer_12,"Eggs, Meat & Fish",Mutton,Salem,2018-12-16 02:20:29.900930,North,1560,0.24,164.0,Tamil Nadu,12,December,2018
OD13,Customer_13,"Eggs, Meat & Fish",Mutton,Tiruppur,2018-08-23 20:17:39.141398,South,440,0.28,119.17,Tamil Nadu,8,August,2018
OD14,Customer_14,Fruits & Veggies,Frozen Veggies,Dharmapuri,2015-08-30 05:09:23.074151,North,2488,0.14,532.44,Tamil Nadu,8,August,2015
OD15,Customer_15,Food Grains,Organic Staples,Ooty,2017-05-12 00:04:53.965776,East,2996,0.22,331.41,Tamil Nadu,5,May,2017
OD16,Customer_16,"Eggs, Meat & Fish",Mutton,Tirunelveli,2016-01-26 23:16:20.246172,West,2329,0.19,865.19,Tamil Nadu,1,January,2016
OD17,Customer_17,Oil & Masala,Spices,Vellore,2017-07-27 02:56:40.060042,North,1800,0.18,503.13,Tamil Nadu,7,July,2017
OD18,Customer_18,Fruits & Veggies,Fresh Vegetables,Salem,2015-08-18 09:08:00.936655,North,1387,0.12,300.44,Tamil Nadu,8,August,2015
OD19,Customer_19,Beverages,Juices,Kanyakumari,2018-04-30 03:10:56.019213,East,1333,0.13,509.25,Tamil Nadu,4,April,2018
OD20,Customer_20,Food Grains,Atta & Flour,Tiruppur,2016-12-03 14:32:23.200240,West,2670,0.27,684.65,Tamil Nadu,12,December,2016
OD21,Customer_21,Oil & Masala,Masalas,Dharmapuri,2016-11-11 16:34:17.760432,East,2329,0.25,235.75,Tamil Nadu,11,November,2016
OD22,Customer_22,Oil & Masala,Spices,Ooty,2018-09-11 13:07:13.383368,West,1567,0.18,674.68,Tamil Nadu,9,September,2018
OD23,Customer_23,Beverages,Juices,Madurai,2016-07-04 22:50:23.956769,West,2398,0.27,454.39,Tamil Nadu,7,July,2016
OD24,Customer_24,Food Grains,Atta & Flour,Ooty,2015-08-12 09:22:08.249774,East,237,0.12,92.6,Tamil Nadu,8,August,2015
OD25,Customer_25,Fruits & Veggies,Frozen Veggies,Krishnagiri,2017-02-14 15:46:01.332933,North,2898,0.22,1117.89,Tamil Nadu,2,February,2017
OD26,Customer_26,Bakery,Cookies,Tirunelveli,2015-04-17 08:41:56.001200,South,2601,0.27,407.92,Tamil Nadu,4,April,2015
